title,abstract,url,github,arxiv,upvotes,published,github_stars
SpatialVID: A Large-Scale Video Dataset with Spatial Annotations,"SpatialVID, a large-scale dataset with diverse videos and dense 3D annotations, enhances model generalization and performance in video and 3D vision research.",https://huggingface.co/papers/2509.09676,https://github.com/NJU-3DV/SpatialVID,https://arxiv.org/abs/2509.09676,22,2025-09-11,201.0
Reconstruction Alignment Improves Unified Multimodal Models,"Reconstruction Alignment (RecA) is a post-training method that enhances multimodal models by using visual embeddings as dense prompts, improving image generation and editing fidelity.",https://huggingface.co/papers/2509.07295,https://github.com/HorizonWind2004/reconstruction-alignment,https://arxiv.org/abs/2509.07295,38,2025-09-08,159.0
From Editor to Dense Geometry Estimator,"FE2E, a framework using a Diffusion Transformer for dense geometry prediction, outperforms generative models in zero-shot monocular depth and normal estimation with improved performance and efficiency.",https://huggingface.co/papers/2509.04338,https://github.com/AMAP-ML/FE2E/,https://arxiv.org/abs/2509.04338,86,2025-09-04,133.0
"EmbodiedOneVision: Interleaved Vision-Text-Action Pretraining for
  General Robot Control","EO-Robotics, comprising EO-1 model and EO-Data1.5M dataset, advances multimodal embodied reasoning and robot control through interleaved vision-text-action pre-training.",https://huggingface.co/papers/2508.21112,https://github.com/EO-Robotics/EO-1,https://arxiv.org/abs/2508.21112,74,2025-08-28,173.0
DINOv3,"DINOv3, a self-supervised learning model, achieves superior performance across various vision tasks by scaling datasets and models, addressing dense feature degradation, and enhancing flexibility with post-hoc strategies.",https://huggingface.co/papers/2508.10104,https://github.com/facebookresearch/dinov3,https://arxiv.org/abs/2508.10104,249,2025-08-13,6910.0
FastVLM: Efficient Vision Encoding for Vision Language Models,"FastVLM, using FastViTHD, optimizes Vision Language Models by scaling image resolution to reduce latency and token count, improving time-to-first-token and maintaining performance.",https://huggingface.co/papers/2412.13303,https://github.com/apple/ml-fastvlm,https://arxiv.org/abs/2412.13303,64,2024-12-17,6480.0
"Youtu-GraphRAG: Vertically Unified Agents for Graph Retrieval-Augmented
  Complex Reasoning","Youtu-GraphRAG enhances large language models with a unified framework that integrates graph construction, retrieval, and reasoning, improving performance and adaptability across domains.",https://huggingface.co/papers/2508.19855,https://github.com/TencentCloudADP/youtu-graphrag,https://arxiv.org/abs/2508.19855,4,2025-08-27,203.0
TempFlow-GRPO: When Timing Matters for GRPO in Flow Models,"TempFlow-GRPO enhances text-to-image generation by addressing temporal credit assignment and noise-aware optimization in flow models, improving human preference alignment and benchmark performance.",https://huggingface.co/papers/2508.04324,https://github.com/Shredded-Pork/TempFlow-GRPO,https://arxiv.org/abs/2508.04324,11,2025-08-06,736.0
"FLUX-Reason-6M & PRISM-Bench: A Million-Scale Text-to-Image Reasoning
  Dataset and Comprehensive Benchmark","FLUX-Reason-6M and PRISM-Bench address the lack of reasoning-focused datasets and benchmarks for text-to-image models, providing a large-scale dataset and evaluation standard to improve model performance.",https://huggingface.co/papers/2509.09680,https://github.com/rongyaofang/prism-bench,https://arxiv.org/abs/2509.09680,35,2025-09-11,60.0
"RepoMaster: Autonomous Exploration and Understanding of GitHub
  Repositories for Complex Task Solving","RepoMaster, an autonomous agent framework, enhances code generation by efficiently exploring and reusing GitHub repositories, improving task completion rates and reducing computational costs.",https://huggingface.co/papers/2505.21577,https://github.com/QuantaAlpha/RepoMaster,https://arxiv.org/abs/2505.21577,2,2025-05-27,322.0
"Mini-o3: Scaling Up Reasoning Patterns and Interaction Turns for Visual
  Search","Mini-o3, a system for deep, multi-turn reasoning in visual search tasks, uses an iterative data collection pipeline and over-turn masking strategy to achieve state-of-the-art performance with rich reasoning patterns.",https://huggingface.co/papers/2509.07969,https://github.com/Mini-o3/Mini-o3,https://arxiv.org/abs/2509.07969,57,2025-09-09,222.0
Qwen-Image Technical Report,"Qwen-Image, an image generation model, advances text rendering and image editing through a comprehensive data pipeline, progressive training, and dual-encoding mechanism.",https://huggingface.co/papers/2508.02324,https://github.com/QwenLM/Qwen-Image,https://arxiv.org/abs/2508.02324,245,2025-08-04,4980.0
rStar2-Agent: Agentic Reasoning Technical Report,"rStar2-Agent, a 14B math reasoning model trained with agentic reinforcement learning, achieves state-of-the-art performance by efficiently handling complex problem-solving with advanced cognitive behaviors and minimal computational resources.",https://huggingface.co/papers/2508.20722,https://github.com/microsoft/rStar,https://arxiv.org/abs/2508.20722,103,2025-08-28,1190.0
Parallel-R1: Towards Parallel Thinking via Reinforcement Learning,"Parallel-R1, a reinforcement learning framework, enhances large language models' reasoning capabilities by enabling parallel thinking through a progressive curriculum, leading to significant performance improvements on math benchmarks.",https://huggingface.co/papers/2509.07980,https://github.com/zhengkid/Parallel-R1,https://arxiv.org/abs/2509.07980,90,2025-09-09,87.0
MixGRPO: Unlocking Flow-based GRPO Efficiency with Mixed ODE-SDE,"MixGRPO, a novel framework integrating SDE and ODE, enhances flow matching models for image generation by optimizing only within a sliding window, improving efficiency and performance.",https://huggingface.co/papers/2507.21802,https://github.com/Tencent-Hunyuan/MixGRPO,https://arxiv.org/abs/2507.21802,12,2025-07-29,609.0
"GLM-4.5: Agentic, Reasoning, and Coding (ARC) Foundation Models","GLM-4.5, a Mixture-of-Experts large language model with 355B parameters, achieves strong performance across agentic, reasoning, and coding tasks using multi-stage training and reinforcement learning.",https://huggingface.co/papers/2508.06471,https://github.com/zai-org/GLM-4.5,https://arxiv.org/abs/2508.06471,178,2025-08-08,2600.0
Qwen3 Technical Report,"Qwen3, a unified series of large language models, integrates thinking and non-thinking modes, reduces computational resources, and achieves state-of-the-art performance across various tasks and languages.",https://huggingface.co/papers/2505.09388,https://github.com/QwenLM/Qwen3,https://arxiv.org/abs/2505.09388,289,2025-05-14,24600.0
AgentFly: Fine-tuning LLM Agents without Fine-tuning LLMs,"A novel memory-augmented reinforcement learning paradigm enables adaptive LLM agents to continually learn without fine-tuning, using episodic memory and a neural case-selection policy.",https://huggingface.co/papers/2508.16153,https://github.com/Agent-on-the-Fly/AgentFly,https://arxiv.org/abs/2508.16153,147,2025-08-22,1420.0
"Killing Two Birds with One Stone:Efficient and Robust Training of Face
  Recognition CNNs by Partial FC","A sparse updating variant of the FC layer, Partial FC, is proposed to reduce memory and computational costs in large-scale face recognition while maintaining accuracy and efficiency.",https://huggingface.co/papers/2203.15565,https://github.com/deepinsight/insightface,https://arxiv.org/abs/2203.15565,2,2022-03-28,26500.0
ViSTA-SLAM: Visual SLAM with Symmetric Two-view Association,"ViSTA-SLAM is a real-time monocular SLAM system that uses a lightweight STA model for pose estimation and pointmap regression, and a Sim(3) pose graph for drift correction, achieving superior tracking and reconstruction.",https://huggingface.co/papers/2509.01584,https://github.com/zhangganlin/vista-slam,https://arxiv.org/abs/2509.01584,6,2025-09-01,128.0
4DNeX: Feed-Forward 4D Generative Modeling Made Easy,"4DNeX generates high-quality dynamic 3D scene representations from a single image using a fine-tuned pretrained video diffusion model, outperforming existing methods in efficiency and generalizability.",https://huggingface.co/papers/2508.13154,https://github.com/3DTopia/4DNeX,https://arxiv.org/abs/2508.13154,58,2025-08-18,478.0
"A.S.E: A Repository-Level Benchmark for Evaluating Security in
  AI-Generated Code","A.S.E is a benchmark for evaluating the security of code generated by large language models using real-world repositories and expert-defined rules, revealing insights into model performance and decoding strategies.",https://huggingface.co/papers/2508.18106,https://github.com/Tencent/AICGSecEval,https://arxiv.org/abs/2508.18106,335,2025-08-25,259.0
Prompt Orchestration Markup Language,"POML addresses challenges in prompting Large Language Models by providing a structured, data-integrated, and format-sensitive markup language with templating and developer tools.",https://huggingface.co/papers/2508.13948,https://github.com/microsoft/poml,https://arxiv.org/abs/2508.13948,48,2025-08-19,4470.0
"Easy Dataset: A Unified and Extensible Framework for Synthesizing LLM
  Fine-Tuning Data from Unstructured Documents","A framework called Easy Dataset synthesizes fine-tuning data from unstructured documents using a GUI and LLMs, improving domain-specific performance of LLMs while maintaining general knowledge.",https://huggingface.co/papers/2507.04009,https://github.com/ConardLi/easy-dataset,https://arxiv.org/abs/2507.04009,43,2025-07-05,10700.0
Hunyuan-MT Technical Report,"Hunyuan-MT-7B and Hunyuan-MT-Chimera-7B are multilingual translation models that outperform existing models, especially in translating between Mandarin and minority languages, through a combination of pre-training, supervised fine-tuning, and reinforcement learning.",https://huggingface.co/papers/2509.05209,https://github.com/Tencent-Hunyuan/Hunyuan-MT,https://arxiv.org/abs/2509.05209,13,2025-09-05,516.0
The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,"Agentic reinforcement learning transforms large language models into autonomous decision-making agents by leveraging temporally extended POMDPs, enhancing capabilities like planning and reasoning through reinforcement learning.",https://huggingface.co/papers/2509.02547,https://github.com/xhyumiracle/Awesome-AgenticLLM-RL-Papers,https://arxiv.org/abs/2509.02547,185,2025-09-02,602.0
"PC-Agent: A Hierarchical Multi-Agent Collaboration Framework for Complex
  Task Automation on PC",A hierarchical agent framework called PC-Agent is proposed to improve the performance of MLLM-based GUI agents in complex PC environments through better perception and decision-making processes.,https://huggingface.co/papers/2502.14282,https://github.com/X-PLUG/MobileAgent/tree/main,https://arxiv.org/abs/2502.14282,28,2025-02-20,5610.0
Mobile-Agent-v3: Foundamental Agents for GUI Automation,"GUI-Owl and Mobile-Agent-v3 are open-source GUI agent models and frameworks that achieve state-of-the-art performance across various benchmarks using innovations in environment infrastructure, agent capabilities, and scalable reinforcement learning.",https://huggingface.co/papers/2508.15144,https://github.com/X-PLUG/MobileAgent/tree/main/Mobile-Agent-v3,https://arxiv.org/abs/2508.15144,61,2025-08-21,5610.0
"Look Before You Leap: A GUI-Critic-R1 Model for Pre-Operative Error
  Diagnosis in GUI Automation",A pre-operative critic mechanism with Suggestion-aware Gradient Relative Policy Optimization enhances the reliability of multimodal reasoning tasks in GUI automation.,https://huggingface.co/papers/2506.04614,https://github.com/X-PLUG/MobileAgent,https://arxiv.org/abs/2506.04614,18,2025-06-05,5610.0
"Large Language Model Agent: A Survey on Methodology, Applications and
  Challenges","A survey of large language model agents provides a structured taxonomy, exploring architectural principles, collaboration, evolution, evaluation, and applications, highlighting promising research directions.",https://huggingface.co/papers/2503.21460,https://github.com/luo-junyu/Awesome-Agent-Papers,https://arxiv.org/abs/2503.21460,82,2025-03-27,1660.0
"GitTaskBench: A Benchmark for Code Agents Solving Real-World Tasks
  Through Code Repository Leveraging","GitTaskBench evaluates code agents in realistic, workflow-driven scenarios using 54 tasks across 7 modalities and domains, introducing the alpha-value metric to assess economic benefits and highlighting challenges in environment setup and dependency resolution.",https://huggingface.co/papers/2508.18993,https://github.com/QuantaAlpha/GitTaskBench,https://arxiv.org/abs/2508.18993,3,2025-08-26,181.0
3D-R1: Enhancing Reasoning in 3D VLMs for Unified Scene Understanding,"3D-R1 enhances 3D scene understanding through a high-quality synthetic dataset, reinforcement learning with GRPO, and dynamic view selection, achieving significant improvements in reasoning and generalization.",https://huggingface.co/papers/2507.23478,https://github.com/AIGeeksGroup/3D-R1,https://arxiv.org/abs/2507.23478,15,2025-07-31,307.0
UI-TARS: Pioneering Automated GUI Interaction with Native Agents,"UI-TARS, a native GUI agent model using screenshots as input, outperforms commercial models in various benchmarks through enhanced perception, unified action modeling, system-2 reasoning, and iterative training with reflective online traces.",https://huggingface.co/papers/2501.12326,https://github.com/bytedance/UI-TARS,https://arxiv.org/abs/2501.12326,64,2025-01-21,7660.0
"OneReward: Unified Mask-Guided Image Generation via Multi-Task Human
  Preference Learning",A unified reinforcement learning framework using a single vision-language model enhances generative capabilities across multiple tasks without task-specific fine-tuning.,https://huggingface.co/papers/2508.21066,https://github.com/bytedance/OneReward,https://arxiv.org/abs/2508.21066,13,2025-08-28,199.0
WebDancer: Towards Autonomous Information Seeking Agency,"The paper proposes a framework for building end-to-end agentic information seeking agents through a combination of data construction, trajectory sampling, supervised fine-tuning, and reinforcement learning, showcasing its effectiveness on information seeking benchmarks.",https://huggingface.co/papers/2505.22648,https://github.com/Alibaba-NLP/WebAgent,https://arxiv.org/abs/2505.22648,30,2025-05-28,6560.0
"WebShaper: Agentically Data Synthesizing via Information-Seeking
  Formalization","WebShaper, a formalization-driven framework, synthesizes information-seeking datasets using set theory and Knowledge Projections to enhance reasoning structure and achieve top performance in open-sourced benchmarks.",https://huggingface.co/papers/2507.15061,https://github.com/Alibaba-NLP/WebWalker,https://arxiv.org/abs/2507.15061,54,2025-07-20,6560.0
WebWatcher: Breaking New Frontier of Vision-Language Deep Research Agent,"WebWatcher, a multimodal agent with enhanced visual-language reasoning, outperforms existing agents in complex visual and textual information retrieval tasks using synthetic trajectories and reinforcement learning.",https://huggingface.co/papers/2508.05748,https://github.com/Alibaba-NLP/WebAgent//,https://arxiv.org/abs/2508.05748,123,2025-08-07,6560.0
"Paper2Agent: Reimagining Research Papers As Interactive and Reliable AI
  Agents",Paper2Agent converts research papers into interactive AI agents to facilitate knowledge dissemination and enable complex scientific queries through natural language.,https://huggingface.co/papers/2509.06917,https://github.com/jmiao24/Paper2Agent,https://arxiv.org/abs/2509.06917,22,2025-09-08,71.0
WebSailor: Navigating Super-human Reasoning for Web Agent,"WebSailor, a post-training methodology, enhances open-source LLMs with sophisticated reasoning to match proprietary systems in complex information-seeking tasks.",https://huggingface.co/papers/2507.02592,https://github.com/Alibaba-NLP/WebAgent/,https://arxiv.org/abs/2507.02592,115,2025-07-03,6560.0
A Survey of Context Engineering for Large Language Models,"Context Engineering systematically optimizes information payloads for Large Language Models, addressing gaps in generating sophisticated, long-form outputs.",https://huggingface.co/papers/2507.13334,https://github.com/Meirtz/Awesome-Context-Engineering,https://arxiv.org/abs/2507.13334,253,2025-07-17,2210.0
